respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DE LA INSTITUCIÓN EDUCATIVA,¿Con qué género te identificas?,"Cuéntanos una historia que te haya pasado en la educación virtual que para ti haya sido importante, puede ser algo agradable o desagradable, que te sucedió a ti o a otro compañero, puede ser alguna situación con un docente, o con tu familia, la conectividad o lo que piensas de esta nueva realidad, comparte tu historia aquí.",La historia que contaste te genera,La experiencia que compartiste es,¿Cuándo pasó la historia que nos contaste?,¿Con qué frecuencia pasa la situación que nos contaste?,¿Quién debe saber esta historia?,¿A quiénes involucra la historia que nos contaste?,Otro Involucrado,¿Qué enseñanza para la vida te dejó la historia que nos contaste?,Otra Enseñanza,La historia que nos contaste tiene impacto en:,Los espacios de aprendizaje virtual que estás teniendo:,Las actividades Extra-curriculares de manera virtual que te ofrece la institución son:,"¿En tu institución utilizan el arte, la cultura, la ciencia y la tecnología, como un camino para la celebración y el respeto por la diversidad?",¿Sientes que tus intereses y preguntas son tenidos en cuenta en tu institución a la hora de crear los contenidos y temas que veras en clase?,¿Sobre cuáles de los siguientes temas te gustaría aprender más en tu institución?,Otro (especifique),¿Cuál de estas características crees que es la que más resalta en los docentes de tu institución?,Disfrutas y aprendes mejor cuando:,Si fueras un profesor de tu institución ¿Qué agregarías a las clases (virtuales y presenciales)?, 
12884327055,404495119,2021-08-11 10:16:01,2021-08-11 10:18:38,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,"varias veces me paso qué mi familia me interrumpia justo cuando tenia el microfono prendido, una vez también estaba hablando dé un tema personal con una persona y no me di cuenta que tenia el microfono prendido y me dio bastante pena",Rabia,Experiencia personal,Hace un año,Casi nunca,Los profesores y las directivas,Familia,,Aprendí a valorar como era la vida antes de la pandemia.,,Tu familia,Hacen que te intereses por nuevas maneras de aprender.,Son buenas,Mucho,Más o menos,Bullying y matoneo,,Pensamiento critico.,6,Más casos y ejemplos de la vida real.,
12884318738,404495119,2021-08-11 10:12:00,2021-08-11 10:15:51,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,a mi no me paso nada importante pero mi hermano me dijo que un dia mientras el estaba en una reunion la mamá de una profesora encendio la licuadora mientras ella estaba dando una clase y la rpofesora le llamo la atención por que no dejaba que los alumnos escucharan su clase asique la mama de la profesora apago la licuadora y la profesora siguio dando su clase como si nada.,Alegría,Experiencia que alguien te compartió,Hace algunos días o semanas,Casi nunca,Los compañeros,Profesores,,Aprendí a valorar como era la vida antes de la pandemia.,,Ninguna de las anteriores,Hacen que quieras entrar a ellos.,Son buenas,Mucho,Más o menos,Innovación y creatividad,,Trabajo colaborativo.,2,Más conversación.,
12884306809,404495119,2021-08-11 10:02:35,2021-08-11 10:11:50,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,"un dia me coenta a la clase como normalmente lo hacia y el profe berna dando la clase de educacion fisica y empeso a hacer unos ejercicios y le dijo a los demas que participaran, haci que un chico quiso hacerlo y se callo y todos nos reimos. ",Alegría,Experiencia personal,Hace seis meses,Casi nunca,Nadie,Profesores,,Otro (especifique),Aprendi que debemos ayudar a los demas y que si alguien se cae debemos ayudarlo,Lo que pasa a tu alrededor,Son divertidos y los disfrutas.,No me gustan,Más o menos,Mucho,Innovación y creatividad,,Trabajo colaborativo.,8,Más actividades fuera del aula.,
12884253745,404495119,2021-08-11 09:51:41,2021-08-11 09:53:47,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,estabamos en clase virtual y tenia el microfono prendido y llega el carro de las verduras y menos mal apague el microfono en ese momento ,Tranquilidad,Experiencia personal,Hace algunos días o semanas,Casi nunca,Padres/familia,A mi,,Aprendí a valorar como era la vida antes de la pandemia.,,Tu familia,Hacen que quieras entrar a ellos.,Son buenas,Más o menos,Más o menos,Educación y aprendizaje,,Buena comunicación.,7,Más trabajos en grupo,
12884245469,404495119,2021-08-11 09:38:05,2021-08-11 09:50:41,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,la historia que tengo para contar hoy es que perdi las materias del segundo periodo las perdi todas y toy muy tiste por que los profes se enojaron conmigo y me dijeron que me colacara las pilas y miren ya mejore ya voy super bien.,Tristeza,Experiencia personal,Hace algunos días o semanas,Casi nunca,Padres/familia,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu futuro,Hacen que no quieras entrar a ellos.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,89,Más actividades fuera del aula.,
12884241096,404495119,2021-08-11 09:44:20,2021-08-11 09:49:00,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,"A mi desde siempre me han echo bullying en todos los  colegios y siembre ocultaba e ignoraba el dolor, la rabia, el desespero, de que no me dejaban tranquilo, que insultaran hasta mi familia hasta que se me lleno el baso de rabia y eso siempre me afecto mcuho socialmente.",Rabia,Experiencia personal,Hace un año,Casi nunca,Padres/familia,Otro (especifique),compañeros de escuelos,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,La forma en que te relacionas con los demás,Hacen que desees volver al salón de clase.,Son buenas,Más o menos,Nada,Innovación y creatividad,,Trabajo colaborativo.,0,Más actividades fuera del aula.,
12884218242,404495119,2021-08-11 09:25:30,2021-08-11 09:40:25,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,al estudiar virtual fue muy dificil para mi como para mis compañeros era muy poca mi capacidad de conexión era muy dificil comprender o entender la guia puesto que no tenia un buen contacto con mis profesores. el profesor de grupo llamado Cristia David me llamaba  de bez en cuando cuando veia que se pasaba el tiempo y la entrega de la guia  yo no me comunicaba ni mandaba mis trabajos pero gracias a Dios vilvio la presencialidad y asi se soluciono mi problema ya que no tengo que depender del internet.,Motivación,Experiencia personal,Hace un año,Casi nunca,Nadie,A mi,,Aprendí a valorar como era la vida antes de la pandemia.,,Tu relación con el colegio y la educación.,Hacen que quieras entrar a ellos.,No me gustan,Mucho,Mucho,Educación y aprendizaje,,Buena comunicación.,0,Más trabajos en grupo,
12884206135,404495119,2021-08-11 09:29:53,2021-08-11 09:35:49,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,un dia mi hermano estaba en una clase virtual y mi mamá se estaba bañando y mi hermano tuvo que prender la camara y mi mamá iba pasando y la vieron en toalla en otra ocación escucharon alegar a mi mamá,Rabia,Experiencia personal,Hace algunos días o semanas,Casi nunca,Nadie,Familia,,Aprendí a valorar como era la vida antes de la pandemia.,,Ninguna de las anteriores,Hacen que desees volver al salón de clase.,No me gustan,Mucho,Más o menos,Innovación y creatividad,,Innovación y creatividad.,10,Más investigación,
12884188879,404495119,2021-08-11 09:26:46,2021-08-11 09:29:14,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,yo en clases virtuales  no me pude conectar por que mi celular no funcionaba  pero si realizaba las guias que me ponian solo esperaba que mi celular funcionara para poderme conectar pero aunque no tuviera celular me salian las guias buenas,Motivación,Experiencia personal,Hace seis meses,Frecuentemente,Nadie,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que no quieras entrar a ellos.,Son buenas,Más o menos,Más o menos,Educación y aprendizaje,,Trabajo colaborativo.,9,Más trabajos en grupo,
12884180099,404495119,2021-08-11 09:23:40,2021-08-11 09:25:49,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,una vez la profesora me paso a participar en clase virtual y me quede callada,Tranquilidad,Experiencia personal,Hace algunos días o semanas,Casi nunca,Todo el mundo,A mi,,Aprendí lo importante de compartir con mis amigos y compañeros.,,Tu relación con el colegio y la educación.,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Mucho,Innovación y creatividad,,Trabajo colaborativo.,93,Más debate.,
12884174311,404495119,2021-08-11 09:19:12,2021-08-11 09:23:37,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,En una clase de fisica tocaba hacer un video de ejercicio donde tocaba grabarlo y presentarlo al profesor donde un amigo le toco presentar en la clase virtual y en el momento se prende la camara y hacer los ejercicios se le fue la luz y cuando vilvio se le habia dañado el celular y por eso no estuvo por 2 semanas en clase hasta que le arreglara el celular,Rabia,Experiencia que alguien te compartió,Hace un año,Casi nunca,Los compañeros,Amigos,,Aprendí lo importante de compartir con mis amigos y compañeros.,,Ninguna de las anteriores,Hacen que quieras entrar a ellos.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,0,Más juegos,
12884161703,404495119,2021-08-11 09:16:33,2021-08-11 09:18:55,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,en una clse virtual estabamos con al profesora marcela en clase de matematicas y en un momento de participacion con un trabajao sobre la guia y al prender el microfono se me apago el celular,Impotencia,Experiencia personal,Hace algunos días o semanas,Frecuentemente,Los compañeros,A mi,,"Aprendí un nuevo manejo del tiempo en casa, lo divido de manera correcta entre la escuela, el ocio, la familia y el descanso.",,Tus emociones o sentimientos,Son divertidos y los disfrutas.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,0,Más trabajos en grupo,
12884154464,404495119,2021-08-11 09:09:48,2021-08-11 09:16:16,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,"yo siempre me he destacado en la institucion en todos los sentidos, pero yo tengo dificultades con matematicas y en primaria en 4to casi lo pierdo porque tenia la materia perdida y me puse las pilas a recuperarla y el dia de refuerzos la gane y ese dia senti mcuha alegria.",Orgullo/Satisfacción,Experiencia personal,Hace un año,Casi nunca,Padres/familia,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu futuro,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,0,Más trabajos en grupo,
12884133325,404495119,2021-08-11 09:04:15,2021-08-11 09:08:32,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,un dia estabamos en una clase virtual con el profesor werner y cuando el me hizo una pregunta se me apago el celular cuando lo prendi ya no me entraba a la clase,Impotencia,Experiencia personal,Hace algunos días o semanas,Frecuentemente,Los compañeros,A mi,,"Aprendí un nuevo manejo del tiempo en casa, lo divido de manera correcta entre la escuela, el ocio, la familia y el descanso.",,Tu relación con el colegio y la educación.,Son aburridos y no te gustan.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,0,Más trabajos en grupo,
12884119590,404495119,2021-08-11 08:58:43,2021-08-11 09:03:50,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,"Yo no entraba a las asesorias donde explicaban las guias porque cuando iva a dentrar me pedia correo, contraseña y metia los datos que me pedia y me sacaba, o me decia que la reunion iva en proceso, vvarias veces le explique mi caso al profesor y me decia que podia ser por lo que habia mucha gente metida en la plataforma, sin embargo mi mama venia al colegio a reclamar las guias y yo las hacia y se las mandaba al profesor que correspondia la materia.",Miedo/angustia,Experiencia personal,Hace algunos días o semanas,Casi siempre,Los profesores y las directivas,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que te intereses por nuevas maneras de aprender.,Son buenas,Más o menos,Mucho,Educación y aprendizaje,,Innovación y creatividad.,0,Más lecturas.,
12884103060,404495119,2021-08-11 08:54:32,2021-08-11 08:58:19,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,un dia cuando estaba en clase virtuales la profesora me hizo una pregunta y yo no queria participar entonces mi mama me regaño muy fuerte y me dijo que tenia que participar en las clases y a partir de ay comenze a participar en casi todas las clases por que si no lo hacia mi mama me regañaba,Motivación,Experiencia personal,Hace seis meses,Casi nunca,Nadie,Familia,,Aprendí lo importante de compartir con mis amigos y compañeros.,,Tu relación con el colegio y la educación.,Son divertidos y los disfrutas.,Son buenas,Mucho,Más o menos,Riegos cibernéticos,,Buena comunicación.,100,Más actividades fuera del aula.,
12884100719,404495119,2021-08-11 08:53:54,2021-08-11 08:57:26,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,me paso algo similar como el señor del aguacate pero esta vez era el de la mazamorra que pasa por todos los apartamentos ofreciendo mazamorra cuando yo hiba a participar en clase,Rabia,Experiencia personal,Hace seis meses,Casi nunca,Los profesores y las directivas,A mi,,Aprendí a valorar como era la vida antes de la pandemia.,,Lo que pasa a tu alrededor,Hacen que te intereses por nuevas maneras de aprender.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Innovación y creatividad.,4,Más lecturas.,
12884092287,404495119,2021-08-11 08:51:28,2021-08-11 08:54:16,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,una vez me cai junto a unas amigas y pues casi no nos aporriamos pero aun asi nos reimos todo el dia,Alegría,Experiencia que alguien te compartió,Hace un año,Frecuentemente,Los compañeros,Amigos,,Aprendí lo importante de compartir con mis amigos y compañeros.,,Tu relación con el colegio y la educación.,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Más o menos,Educación y aprendizaje,,Trabajo colaborativo.,0,Más juegos,
12884090777,404495119,2021-08-11 08:50:13,2021-08-11 08:53:44,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,un dia estaba muy feliz y de repente me puse triste porque mi mamá está sin trabajo porque a ella la echaron y ahora nos da muy duro porque ella aportaba mucho en la casa pero gracias a Dios mi papá esta trabajando. ,Tristeza,Experiencia personal,Hace seis meses,Casi nunca,Nadie,Familia,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu familia,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Más o menos,Relación con la familia,,Buena comunicación.,6,Más actividades fuera del aula.,
12884083057,404495119,2021-08-11 08:47:11,2021-08-11 08:50:54,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,un dia iba a mandar un taller y era el ultimo dia y se me daño el intenet y no pude mandar el atller y no me creyeron,Tristeza,Experiencia personal,Hace seis meses,Casi nunca,Padres/familia,A mi,,Aprendí nuevas habilidades y conocimientos.,,Tu familia,Hacen que desees volver al salón de clase.,Me encantan,Poco,Más o menos,Valores,,Pensamiento critico.,100,Más conversación.,
12884031348,404495119,2021-08-11 08:31:01,2021-08-11 08:49:39,191.156.47.243,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,Bueno ami me paso por ejemplo que me iva a conectar en la clase virtual y de repente paso un problema con la electricidad y despues todo se normaliso y ya no tengo otra.,Rabia,Una opinión,Hace algunos días o semanas,Casi nunca,Padres/familia,A mi,,Aprendí nuevas habilidades y conocimientos.,,Ninguna de las anteriores,Hacen que quieras entrar a ellos.,Son buenas,Mucho,Mucho,Innovación y creatividad,,Innovación y creatividad.,78,Más trabajos en grupo,
12884071863,404495119,2021-08-11 08:41:28,2021-08-11 08:46:37,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,Una vez  iba a  mandar el taller de español y por equivocación le mande el taller a mi mama,Tranquilidad,Experiencia personal,Hace algunos días o semanas,Casi nunca,Nadie,Familia,,Aprendí nuevas habilidades y conocimientos.,,Ninguna de las anteriores,Hacen que quieras entrar a ellos.,No me gustan,Mucho,Mucho,Educación sexual,,Buena comunicación.,0,Más investigación,
12884055748,404495119,2021-08-11 08:29:51,2021-08-11 08:40:39,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,un dia estaba en una clase virtual con una amiga cuando activamos el microfono para hablar llego el señor de la masamorra gritando,Impotencia,Experiencia personal,Hace seis meses,Casi nunca,Nadie,Profesores,,Aprendí a valorar como era la vida antes de la pandemia.,,Lo que pasa a tu alrededor,Hacen que quieras entrar a ellos.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,0,Más lecturas.,
12884024291,404495119,2021-08-11 08:24:55,2021-08-11 08:29:31,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,"Que cuando entregaba las guias ningún, o casi ningún profesor me resivia las guias, cuando las mandaba y por los profesores no me calificaron las guias y perdi el año",Tranquilidad,Experiencia personal,Hace un año,Casi nunca,Los profesores y las directivas,Profesores,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu futuro,Hacen que no quieras entrar a ellos.,Son buenas,Más o menos,Poco,Relación con los profesores,,Innovación y creatividad.,100,Más casos y ejemplos de la vida real.,
12884008593,404495119,2021-08-11 08:21:03,2021-08-11 08:24:05,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,una vez estaba en clase virtual y se fue la luz,Rabia,Experiencia personal,Hace seis meses,Casi nunca,Todo el mundo,A mi,,Aprendí nuevas habilidades y conocimientos.,,Tu relación con el colegio y la educación.,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Más o menos,Educación y aprendizaje,,Trabajo colaborativo.,100,Más juegos,
12884007158,404495119,2021-08-11 08:18:45,2021-08-11 08:23:35,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,Un dia cuando estaba en clase virtual estaban en una reuñon de padres de Familia y se me prendio la camara.,Impotencia,Experiencia personal,Hace seis meses,Casi nunca,Padres/familia,A mi,,Aprendí nuevas habilidades y conocimientos.,,Lo que pasa a tu alrededor,Son divertidos y los disfrutas.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Innovación y creatividad.,4,Más lecturas.,
12883999022,404495119,2021-08-11 08:18:18,2021-08-11 08:20:44,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,A mi me paso que iba bajando muy rapido las escaleras y me cai de las escaleras,Tristeza,Experiencia personal,Hace algunos días o semanas,Casi nunca,Padres/familia,A mi,,Otro (especifique),Aprendi a tener mas cuidado,Ninguna de las anteriores,Son aburridos y no te gustan.,Me encantan,Mucho,Mucho,Innovación y creatividad,,Innovación y creatividad.,0,Más trabajos en grupo,
12883992612,404495119,2021-08-11 08:16:14,2021-08-11 08:18:29,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,me daba pena responderle a mis maestros y solo escuchaba y entendia mas o menos.,Tristeza,Experiencia personal,Hace seis meses,Frecuentemente,Nadie,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Ninguna de las anteriores,Hacen que quieras entrar a ellos.,Son buenas,Mucho,Mucho,Valores,,Trabajo colaborativo.,4,Más debate.,
12883991341,404495119,2021-08-11 08:16:21,2021-08-11 08:18:02,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,ir a pescar en mi cumpleaños y aprender a pescar,Orgullo/Satisfacción,Experiencia personal,Hace seis meses,Casi nunca,Padres/familia,Familia,,Aprendí nuevas habilidades y conocimientos.,,Tus emociones o sentimientos,Son divertidos y los disfrutas.,Son buenas,Más o menos,Más o menos,Educación y aprendizaje,,Innovación y creatividad.,98,Más trabajos en grupo,
12883985420,404495119,2021-08-11 08:09:41,2021-08-11 08:15:57,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,"Que una vez en el grupo habia entrado a clase normal pero los profes no se habian conectado entonces todos estamos diciendo si no habia clase o era festivo, entonces se conecto un profesor y nos dijo que no habia clase por paro o marcha, todo iniciaron a decir que este tenia razón porque dijo que no habia clase, luego todos se salieron de la clase,yo estaba molesta porque me habia conectado para saber que no habia clase, yo tenia sueño pero me habian levantado, luego regrese a dormir.",Rabia,Experiencia personal,Hace seis meses,Casi nunca,Los compañeros,A mi,,Aprendí a valorar como era la vida antes de la pandemia.,,Tu relación con el colegio y la educación.,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Más o menos,Innovación y creatividad,,Innovación y creatividad.,0,Más proyectos artísticos,
12883966569,404495119,2021-08-11 08:06:54,2021-08-11 08:09:20,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,cuando comensamos en la virtualidad no sabia que la virtualidad era con base en guias y no sabia y dure un mes sin hacer las guias pero lñuego me desatrase,Impotencia,Una opinión,Hace un año,Frecuentemente,Nadie,A mi,,Aprendí a valorar como era la vida antes de la pandemia.,,Ninguna de las anteriores,Son aburridos y no te gustan.,Son buenas,Mucho,Poco,Educación y aprendizaje,,Buena comunicación.,0,Más actividades fuera del aula.,
12883958465,404495119,2021-08-11 08:04:35,2021-08-11 08:06:26,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,un dia esta jugando me cai y me fracture el pie,Tristeza,Experiencia personal,Hace un año,Casi nunca,Nadie,A mi,,Aprendí nuevas habilidades y conocimientos.,,Tu futuro,Hacen que no quieras entrar a ellos.,Son buenas,Poco,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,0,Más investigación,
12883952222,404495119,2021-08-11 08:01:42,2021-08-11 08:04:13,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,no me conectaba a las clases virtuales porque no sabia muy bien conectarme,Miedo/angustia,Experiencia personal,Hace algunos días o semanas,Siempre,Los profesores y las directivas,A mi,,Aprendí nuevas habilidades y conocimientos.,,Tu futuro,Son aburridos y no te gustan.,No me ofrecen/ No sé,Nada,Poco,Educación sexual,,Innovación y creatividad.,100,Más actividades fuera del aula.,
12883943867,404495119,2021-08-11 07:58:18,2021-08-11 08:01:16,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,a mi me paso que me daba pereza conectarme y me conecte y me gusto,Motivación,Experiencia personal,Hace algunos días o semanas,Casi nunca,Nadie,A mi,,Aprendí nuevas habilidades y conocimientos.,,Ninguna de las anteriores,Hacen que te intereses por nuevas maneras de aprender.,Son buenas,Mucho,Más o menos,Educación sexual,,Trabajo colaborativo.,100,Más juegos,
12883935648,404495119,2021-08-11 07:52:13,2021-08-11 07:57:58,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,bueno a mi prima le paso que fue la mejor de sus clase. A ella le gusta mucho dibujar pero es un poco mala con matemáticas pero le echo muchas granas a estudiar matemáticas desde hace muchos dias para salir bien,Motivación,Experiencia que alguien te compartió,Hace un año,Casi nunca,Padres/familia,Familia,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Más o menos,Innovación y creatividad,,Buena comunicación.,0,Más actividades fuera del aula.,
12882929441,404495119,2021-08-10 21:59:02,2021-08-10 22:10:34,190.70.69.141,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,Esta es mi historia. Cuando mi mamá de enfermo ya que ella es una persona enferma tuvimos que viajar a Bogotá y no poder asistir a las clases virtuales fue una situación muy difícil pero logramos salir adelante ,Motivación,Experiencia personal,Hace seis meses,Casi nunca,Los profesores y las directivas,Familia,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Ninguna de las anteriores,Hacen que te intereses por nuevas maneras de aprender.,No me ofrecen/ No sé,Más o menos,Más o menos,Salud,,Buena comunicación.,100,Más debate.,
12882407367,404495119,2021-08-10 16:40:32,2021-08-10 17:35:45,201.233.222.94,,,,,No,ANTIOQUIA,IE. El Limonar,Mujer,"mi historia es de como la virtualidad paso de algo tomado como unas vacaciones a como una cárcel obligatoria al principio fue muy relajante sin muchos deberes y sin tener que madrugar, pasadas unas semanas ya no podíamos salir y en realidad no me molesto pero pasados unos meses se sintió la nostalgia y la ansiedad de no poder salir y que empezaron a llegar muchos mas trabajos para el colegio y el pensamiento de no acabarlos a tiempo, al pasar se volvió como un bucle de todos los días luego de eso el siguiente año donde aumentaron las tareas y con agradecimiento que las clases también y que con la paciencia de los profesores pude terminarlos y luego la presencialidad de la cual nunca imagine que fuese una palabra emocionante y a la ves de la que se tuviera temor y por fin volver al colegio.",Esperanza,Experiencia personal,Hace un año,Casi nunca,Todo el mundo,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Lo que pasa a tu alrededor,Hacen que te intereses por nuevas maneras de aprender.,Son buenas,Más o menos,Mucho,Educación sexual,,Trabajo colaborativo.,50,Más trabajos en grupo,
12882201613,404495119,2021-08-10 15:58:34,2021-08-10 16:28:14,181.133.19.247,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,Casi nunca entiendo algo ,Tristeza,Una opinión,Hace algunos días o semanas,Siempre,Todo el mundo,A mi,,Aprendí a valorar como era la vida antes de la pandemia.,,Tu relación con el colegio y la educación.,Hacen que no quieras entrar a ellos.,No me gustan,Mucho,Nada,Educación y aprendizaje,,Buena comunicación.,0,Más juegos,
12882186849,404495119,2021-08-10 15:52:18,2021-08-10 15:57:15,181.58.39.212,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,Falta de conexión ,Impotencia,Experiencia personal,Hace algunos días o semanas,Frecuentemente,Los profesores y las directivas,Profesores,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tus emociones o sentimientos,Hacen que quieras entrar a ellos.,No me gustan,Más o menos,Más o menos,Educación sexual,,Trabajo colaborativo.,2,Más debate.,
12882099455,404495119,2021-08-10 15:17:29,2021-08-10 15:19:52,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,que una vez ise la guia que no era y la envie toda y una profesora me dijo que esa no era la guia que tenia que hacer y meto hacer la guia que era en dos dias.,Impotencia,Experiencia que alguien te compartió,Hace seis meses,Casi nunca,Nadie,Profesores,,"Aprendí un nuevo manejo del tiempo en casa, lo divido de manera correcta entre la escuela, el ocio, la familia y el descanso.",,Ninguna de las anteriores,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Más o menos,Valores,,Trabajo colaborativo.,0,Más investigación,
12882090241,404495119,2021-08-10 15:11:15,2021-08-10 15:15:53,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Mujer,Bueno mi historia es que mientras yo realizaba la guia y los demas estaban en virtualidad yo me consentraba en la guia y nunca recibi ayuda de mis padres para realizar la guia si yo les preguntaba algo ellos me decian no sabemos nada de eso balla y preguntele a alguien mas y eso eran puras peleas en mi casa por cualquier bobada y yo muy triste pero que mas.,Tristeza,Experiencia personal,Hace algunos días o semanas,Siempre,Los profesores y las directivas,A mi,,Aprendí a valorar a mis profesores como personas que se interesan por mi mas allá de lo académico,,Tu familia,Son divertidos y los disfrutas.,Son buenas,Mucho,Mucho,Valores,,Trabajo colaborativo.,0,Más casos y ejemplos de la vida real.,
12882076511,404495119,2021-08-10 15:08:18,2021-08-10 15:10:06,190.248.7.179,,,,,Sí,ANTIOQUIA,IE. El Limonar,Hombre,yo no entraba a la clases virtuales por que me daba pereza,Tranquilidad,Experiencia personal,Hace seis meses,Siempre,Todo el mundo,A mi,,Otro (especifique),nada,Tu futuro,Hacen que quieras entrar a ellos.,Son buenas,Más o menos,Más o menos,Educación y aprendizaje,,Buena comunicación.,0,Más juegos,
