respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Las decisiones fueron influenciadas por…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12574594338,402496032,2021-04-14 09:02:26,2021-04-14 09:15:44,191.95.144.139,,,,,No,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Aprendí temas muy importantes interesantes para mi vida cotidiana y la de mi familia como por el ejemplo el tema ase juego limpio q fue el alcohol q temprana edad q es malo para nuestra vida,#el alcohol es malo para nuestro cuerpo,Me dio curiosidad por saber más,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,70,47,100,71,Felicidad,Todo el tiempo,El trabajo en equipo,7,11 a 13 años,Bachiller,Mujer
12574583284,402496032,2021-04-14 08:58:15,2021-04-19 06:16:09,191.95.150.15,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Aprender algo nuevo,,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,13,15,97,Tristeza,Con frecuencia,El trabajo en equipo,7,11 a 13 años,Técnico,Mujer
12574581819,402496032,2021-04-14 09:01:02,2021-04-14 09:12:44,45.175.20.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Me enselñaron ejercicio nuevos,Lo aprendido,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,50,40,47,56,Satisfacción/orgullo,Rara vez,El trabajo en equipo,7,11 a 13 años,No se,Hombre
12574570413,402496032,2021-04-14 08:59:12,2021-04-14 09:08:46,45.175.20.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Cuando llegaban los profes al salón eso daba una gran motivación y cuando ivamos a la cancha a hacer deportes eso me gustaba mucho,No,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Entendernos y darnos soporte emocional,100,88,49,53,Felicidad,No se,La forma cómo los profesores enseñan,7,11 a 13 años,No se,Mujer
12574568002,402496032,2021-04-14 09:00:19,2021-04-14 09:07:39,191.95.146.194,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,"Un tema quedó algo incompleto, entonces estaba ansioso por saber el tema por completoansioso",#ansioso_por_saber,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,50,0,53,51,Satisfacción/orgullo,Con frecuencia,Ninguna de las anteriores,7,14 a 16 años,Bachiller,Hombre
12574557553,402496032,2021-04-14 08:59:31,2021-04-14 09:04:30,191.95.149.185,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Los profes que dicen que si uno es participativo en clase no hace guias,#nomastarea,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,50,57,64,43,Felicidad,Rara vez,La forma cómo los profesores enseñan,7,11 a 13 años,Bachiller,Hombre
12574553541,402496032,2021-04-14 08:59:06,2021-04-14 09:03:30,181.128.110.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Hacer los test físicos ,#testfisicos,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,14,18,100,Felicidad,Con frecuencia,Innovación / creatividad,7,11 a 13 años,Universitario,Hombre
12574417941,402496032,2021-04-14 08:04:21,2021-04-14 08:19:50,181.128.20.188,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Megustan las clases de eduacion fisica porque juego futbol,#futbol,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,100,Felicidad,Todo el tiempo,El trabajo en equipo,6,11 a 13 años,Técnico,Hombre
12574417360,402496032,2021-04-14 08:03:29,2021-04-14 08:20:47,181.128.36.212,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,El respeto hacia los compañeros y profesores y el cumplimiento a las normas y cuidados de nuestra institución educativa,#aprendiendo en casa,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,15,22,100,no está seguro,Con frecuencia,Relación con los compañeros,6,8 a 10 años,Bachiller,Hombre
12574416755,402496032,2021-04-14 08:03:57,2021-04-14 08:19:45,181.128.20.188,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,me gustan  las clases de educasion fisica los test,# test,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,100,Felicidad,Todo el tiempo,El trabajo en equipo,6,11 a 13 años,Bachiller,Hombre
12574376644,402496032,2021-04-14 07:53:18,2021-04-14 08:06:28,200.122.223.74,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,los del año pasado a el transcurso de este he aprendido a sobre pasar el covid 19,#elsobrevivirconlaepidemia,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,96,14,100,100,Esperanza,Todo el tiempo,Mi aporte a la humanidad/al mundo/a los demás,6,11 a 13 años,Técnico,Hombre
12574368690,402496032,2021-04-14 07:53:56,2021-04-14 08:04:53,181.128.122.109,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Lo que aprendí y como lo hice,#hashtag Valentina oquendo Giraldo,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,32,100,100,Tristeza,Rara vez,El trabajo en equipo,6,11 a 13 años,No se,Mujer
12574355473,402496032,2021-04-14 07:53:55,2021-04-14 07:59:18,181.128.78.152,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,me enseñaron a participar en clase por medio de Meet,estudio desde la virtualidad ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,64,100,52,Esperanza,Rara vez,El trabajo en equipo,6,11 a 13 años,Bachiller,Mujer
12573323833,402496032,2021-04-13 22:18:00,2021-04-13 22:19:36,190.71.18.122,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,,,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,100,89,100,Esperanza,Una vez,Liderazgo,4,8 a 10 años,No se,Mujer
12573156062,402496032,2021-04-13 19:58:55,2021-04-13 20:32:05,191.95.43.94,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te confundió,Me confundió porque no sabia como iba ser el año eacolar,Compartir en la distancia,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,60,30,70,0,Esperanza,Rara vez,Lo que hago en mi tiempo libre,4,8 a 10 años,Bachiller,Mujer
12573135091,402496032,2021-04-13 20:02:37,2021-04-13 20:19:23,191.95.44.139,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Se aprendió cosas nuevas como estar juntas compartir un poco mas aprender cosas nuevas y muchas cosas cosas más ,Aprendamos en casa ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Hacer cosas,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,39,50,50,Felicidad,Con frecuencia,Cómo resolver conflictos,4,8 a 10 años,Bachiller,Mujer
12573130592,402496032,2021-04-13 20:11:24,2021-04-13 20:16:37,45.175.20.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Aprendí mucho de mi profesora,#MiMaestraLoLogro,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,31,14,43,36,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,4,8 a 10 años,Bachiller,Mujer
12573109186,402496032,2021-04-13 19:45:26,2021-04-13 20:05:11,201.184.186.34,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,"De q uno aprende como sea y no hay limites para el estudio, ya llebamos 1 año estudiando virtual ",#hashtagUNAÑOENCASA,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,49,48,52,48,Satisfacción/orgullo,Todo el tiempo,Tecnología y herramientas digitales,4,8 a 10 años,Bachiller,Mujer
12573066493,402496032,2021-04-13 19:34:47,2021-04-13 19:42:11,186.81.102.11,,,,,No,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,"Cuando comenzó la pademia, yo no tenia celular. Entonces mi madre que tampoco sabia manejar celular tuvo que prestarme el de ella para poder recibir las clases. Los dos tuvimos que ir donde la vecina a que nos dijera como se descargaba el programa por donde recibir la clase. Y luego de eso comenzamos a recibir clase juntos. Mi madre era muy estricta. Me hacía copiar todo lo que decían los profesores. Al inicio me conectaba por datos. Pero después un compañero me dijo que podía enseñarme a jaquear el WiFi de la vecina. Le comente a mi madre y ella se negó diciendo que el celular era de ella, que eso no estaba bien. Entonces mi madre fue donde la vecina, hablo con ella y la vecina le coloco la clave al celular.",El celular ,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Entendernos y darnos soporte emocional,55,55,63,63,Esperanza,Rara vez,Tecnología y herramientas digitales,8,14 a 16 años,No se,Hombre
12572943670,402496032,2021-04-13 18:33:37,2021-04-13 18:44:57,181.132.227.45,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Aprendí otra manera de estudiar ej.por medio virtual,Clases virtuales ,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,33,34,70,14,Esperanza,Rara vez,Liderazgo,4,8 a 10 años,Bachiller,Mujer
12572838165,402496032,2021-04-13 17:43:47,2021-04-13 17:58:35,179.13.96.85,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Aprendi cosas nuevas como a quereme a mi mismo y respetar a todos ,#MEAMO ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,51,50,19,Felicidad,Todo el tiempo,Ninguna de las anteriores,10,14 a 16 años,Bachiller,Hombre
12572819788,402496032,2021-04-13 17:44:01,2021-04-13 17:50:41,181.128.1.65,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Entrando de vacaciones en el reencuentro con mis amigos empezamos a estudiar nuevos temas algo complejos pero al final aprendiendo cosas nuevas.,#aprendermas,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,50,50,80,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,10,14 a 16 años,Bachiller,Hombre
12572752790,402496032,2021-04-13 17:12:26,2021-04-13 17:21:57,179.12.109.119,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Aprendí qué aveces pasas por malos momentos y por eso no puedes rendirte ,#Notitubear,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,11,100,100,12,Felicidad,Una vez,Ninguna de las anteriores,8,14 a 16 años,Bachiller,Hombre
12572751695,402496032,2021-04-13 17:12:21,2021-04-13 17:20:50,181.132.192.232,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,el clse de matematicas aprendí mucho sobre las rectas numericas ,#aprendermas,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,22,42,75,36,Satisfacción/orgullo,Una vez,El trabajo en equipo,8,11 a 13 años,Bachiller,Mujer
12572749984,402496032,2021-04-13 17:12:24,2021-04-13 17:20:02,181.132.225.184,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te confundió,"Creo que fue en cuanto a lo social, me sentia incomoda con las personas a mi alrededor y aunque me iba muy bien en mis notas a veces me distraía. Prefiero estudiar en mi casa que en el colegio. ",,Me sentí confundido/no entendí nada,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,30,100,100,17,Angustia/Miedo,Todo el tiempo,Relación con los compañeros,8,14 a 16 años,Bachiller,Mujer
12572748449,402496032,2021-04-13 17:12:21,2021-04-13 17:19:13,179.12.115.216,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,"En el colegio, hay un chico que tiene un problema con su piel, cuando entré nueva, no le vi nada de malo, pensé que le iban hacer el feo pero no, todos se hacían con el, y nadie lo dejo solo en ningún momento",#igualdadinstitucional,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,50,10,100,100,Felicidad,Rara vez,Relación con los compañeros,8,14 a 16 años,Bachiller,Mujer
12572748405,402496032,2021-04-13 17:12:18,2021-04-13 17:19:29,179.12.105.10,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,que ahora tenemos que trabajar por virtual pero así también aprendemos aunque no estemos cara a cara  ,#estudiandoencasa,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,50,48,100,55,no está seguro,Rara vez,Ninguna de las anteriores,8,14 a 16 años,Bachiller,Mujer
12572747496,402496032,2021-04-13 17:13:02,2021-04-13 17:18:57,181.132.232.111,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,como el echo de aprender nuevas herramientas virtuales ,#aprendedesdecasa ,Me dio curiosidad por saber más,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,72,50,52,52,no está seguro,Rara vez,Innovación / creatividad,8,14 a 16 años,Técnico,Mujer
12572747404,402496032,2021-04-13 17:13:42,2021-04-13 17:19:10,179.12.109.119,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Aprendí que cada persona tiene un universo muy diferente en su cabeza,.,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,75,52,100,100,Felicidad,Rara vez,Cómo resolver conflictos,8,14 a 16 años,Bachiller,Hombre
12572746876,402496032,2021-04-13 17:13:22,2021-04-13 17:18:39,191.95.148.106,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,Quería aprender más sobre una area,Curiosidad ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,84,49,50,78,Felicidad,Una vez,Cómo resolver conflictos,8,14 a 16 años,Bachiller,Hombre
12572746745,402496032,2021-04-13 17:12:37,2021-04-13 17:18:38,179.12.102.153,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,Quisiera aprender más aúnque aprendí mucho pero si quisiera aprender más ,#quisiera aprender mucho más de lo que se ,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,51,50,50,Felicidad,Con frecuencia,El trabajo en equipo,8,14 a 16 años,Universitario,Mujer
12572746652,402496032,2021-04-13 17:12:18,2021-04-13 17:18:38,190.240.46.66,,,,,No,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,"Las historias de Edgar Allan Poe, estabamos en clase, un dia normal, nos pusieron una tarea y el cuento sobre el que habia que hacer la tarea era de este señor, sus cuentos fueron como poesia para mi, algo que jamas habia visto en un cuento ",#EdgarAllanPoe,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,0,100,50,100,Felicidad,Rara vez,Innovación / creatividad,8,11 a 13 años,Técnico,Mujer
12572746546,402496032,2021-04-13 17:12:34,2021-04-13 17:19:04,181.132.223.175,,,,,No,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,"La monocromia,es una técnica bastante interesante que podría servirme bastante en el futuro ya q estoy considerando ser artista",#AprendeDelArte,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,50,0,70,100,Felicidad,Con frecuencia,Lo que hago en mi tiempo libre,8,14 a 16 años,Técnico,Mujer
12572745210,402496032,2021-04-13 17:12:26,2021-04-13 17:18:21,191.95.154.89,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,Aprende muchas cosas uno del conocimiento de cada materia que da a enseñar un docente ,#aprendemoscosasnuevas ,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,14,44,100,100,Esperanza,Con frecuencia,Mi aporte a la humanidad/al mundo/a los demás,8,14 a 16 años,Bachiller,Hombre
12572744217,402496032,2021-04-13 17:12:50,2021-04-13 17:17:27,181.58.38.241,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Las personas juzgan antes de conocernos ,#nojuzguesunlibroporsuportada,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,51,100,100,87,Indiferencia,Con frecuencia,Relación con los compañeros,8,14 a 16 años,Bachiller,Hombre
12572742463,402496032,2021-04-13 17:12:37,2021-04-13 17:16:41,179.12.105.9,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,En matemáticas digamos que yo no entiendo mucho pero ahora ya puedo entenderla mejor gracias a los nuevos temas y explicaciones por parte de los profesores,#explicacion,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,0,0,10,100,Felicidad,Una vez,La forma cómo los profesores enseñan,8,11 a 13 años,Técnico,Hombre
12572742271,402496032,2021-04-13 17:12:26,2021-04-13 17:16:39,181.131.210.23,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te confundió,No aprendí nada en modo de virtualidad.,#volvamosalcolegio,Me sentí confundido/no entendí nada,Mi país/el mundo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,0,100,0,100,Angustia/Miedo,Con frecuencia,Lo que hago en mi tiempo libre,8,11 a 13 años,Bachiller,Mujer
12572741932,402496032,2021-04-13 17:12:27,2021-04-13 17:16:36,181.134.146.157,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,aprendi muchos temas nuevos ,#aprender ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,0,0,22,100,Felicidad,Una vez,El trabajo en equipo,8,14 a 16 años,No se,Mujer
12572740178,402496032,2021-04-13 17:12:29,2021-04-13 17:15:38,191.102.197.201,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Todo lo que hemos hecho,#VivaElColegio,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Hacer cosas,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,91,15,50,50,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,8,11 a 13 años,No se,Hombre
12572642234,402496032,2021-04-13 16:21:03,2021-04-13 16:52:33,181.134.146.136,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te confundió,me sentia confundido por que a veces me sentía que era capaz de hacer una tarea y me  estresaba ,#DarUnPocoMasDeTiempo,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,1,100,1,1,Rabia,Rara vez,Cómo resolver conflictos,8,14 a 16 años,Bachiller,Hombre
12572639781,402496032,2021-04-13 16:29:46,2021-04-13 16:32:08,181.58.38.94,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Buena experiencia,#buenaexperiencia,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Hacer cosas,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,25,88,86,86,Felicidad,Con frecuencia,Cómo resolver conflictos,8,11 a 13 años,Bachiller,Mujer
12572634127,402496032,2021-04-13 16:21:42,2021-04-13 16:30:15,181.132.222.104,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,.,.,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Hacer cosas,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,14,46,100,100,Tristeza,Una vez,Liderazgo,8,14 a 16 años,Bachiller,Mujer
12572625030,402496032,2021-04-13 16:16:58,2021-04-13 16:27:02,181.128.89.194,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,yo tengo problemas con la comunicacion y tengo problemas de vision y audicion lo  que pasa es que no me puedo concentrar bien en las clase y el año pasado me sucedio que mis compañeros me quisieron ayudar y aprendi muchas cosas y eso me dio mucha ayuda y quise aprender mas,Ayuda a los que te necesitan,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,52,100,0,Felicidad,No se,El trabajo en equipo,8,11 a 13 años,No se,Mujer
12572622846,402496032,2021-04-13 16:20:51,2021-04-13 16:25:14,179.13.141.63,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Me dieron ganas de aprender más ya que en el colegio en qué yo estaba no le entendía bien a los profes,No se,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,33,58,100,Felicidad,Rara vez,Cómo resolver conflictos,8,14 a 16 años,Bachiller,Hombre
12572622416,402496032,2021-04-13 16:16:55,2021-04-13 16:26:11,181.58.38.17,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Yo antes estudiaba en un pueblo y cuándo llegue a Medellín todo era más diferente las materias de los colegio.,#aprendemas,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,81,50,81,50,Esperanza,Rara vez,La forma cómo los profesores enseñan,8,11 a 13 años,Bachiller,Hombre
12572622324,402496032,2021-04-13 16:17:26,2021-04-13 16:25:23,186.81.102.131,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te confundió,"Son demasiadas tareas y trabajos y nos dan muy poco tiempo entonces es un poco aburridor, en mi caso yo entrego las tareas por entregar, por una nota ",#menostarea,Me sentí confundido/no entendí nada,Quienes me rodean,Desarrollar mis habilidades,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,10,100,50,20,Angustia/Miedo,Todo el tiempo,La forma como los profesores me evalúan,8,11 a 13 años,No se,Mujer
12572620726,402496032,2021-04-13 16:18:45,2021-04-13 16:24:19,181.136.111.93,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,Me dio curiosidad aprender nuevas cosas por que estamos expirementanto un nuevo cambio en la vida diaria,#AprendamosAlgoNuevo,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,55,53,48,88,Felicidad,Una vez,Innovación / creatividad,8,14 a 16 años,Bachiller,Mujer
12572619561,402496032,2021-04-13 16:16:43,2021-04-13 16:24:03,181.58.38.230,,,,,No,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Que fue un reto aprender desde la conectividad y me gusto mucho por que estabamos en familia y podía compartir lo aprendido en clases y ademas a si yo captaba mejor las cosas,#ADELANTE ES PA ALLÁ,Aprendí algo nuevo,Mi país/el mundo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,0,75,50,50,Angustia/Miedo,Rara vez,Relación con la familia,8,11 a 13 años,Universitario,Hombre
12572618702,402496032,2021-04-13 16:17:00,2021-04-13 16:23:34,201.190.80.67,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,Fue con lo de los modelos atómicos y como han cambia dependiendo de la persona ,La curiosidad siempre es buena,Me dio curiosidad por saber más,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,55,55,70,16,Felicidad,Una vez,Lo que hago en mi tiempo libre,8,11 a 13 años,Universitario,Hombre
